shotID,sessionID,uniqueid,lineCallType,id,playingPlayerID,receivingPlayerID,in_out,review,status,x,y,ballSpeed,impactSpeed,netHeight,spin,playingx,playingy,receivingx,receivingy,shotType,timestamp,TimeSinceLast,bitNet,bounce_x,bounce_y,bounce_playerPosition_x,bounce_playerPosition_y,bounce2ago_x,bounce2ago_y,stroke,MachineSetting,ServeSide,Type
1026004,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,29.38,3.524,59.619,42.585,1.526,0,-29.688,2.18,50,-2.045,NA,1570808896.877,1.6740000247955322,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1026005,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,0,1,NA,-41.477,9.213,50.172,35.837,6.537,0,49.951,-2.196,-29.688,2.18,NA,1570808898.579,1.7019999027252197,0,29.38,3.524,50,-2.045,30.7,-0.758,Forehand,Narrow 60 MPH,NA,Down the Line
1026006,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,33.619,-2.135,68.682,49.058,1.68,0,-29.688,2.18,50,-7.725,NA,1570808900.003,1.4240000247955322,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1026007,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-14.674,5.971,53.844,38.46,0.066,0,48.633,-6.286,-29.688,2.18,NA,1570808901.300,1.2969999313354492,0,33.619,-2.135,50,-7.725,29.38,3.524,Forehand,Narrow 60 MPH,NA,Cross Court
1026008,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,33.065,3.121,66.571,47.551,1.925,0,-29.688,2.18,50,-9.799,NA,1570808903.329,2.0290000438690186,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1026009,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-25.396,0.08,60.202,43.002,2.329,0,50,-7.293,-29.688,2.18,NA,1570808904.783,1.4539999961853027,0,33.065,3.121,50,-9.799,33.619,-2.135,Forehand,Narrow 60 MPH,NA,Down the Line
1026010,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,30.67,-2.279,62.201,44.429,1.626,0,-29.688,2.18,50,-6.585,NA,1570808906.352,1.569000005722046,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1026011,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-28.693,4.283,64.795,46.282,1.985,0,49.762,-5.968,-29.688,2.18,NA,1570808907.842,1.4900000095367432,0,30.67,-2.279,50,-6.585,33.065,3.121,Forehand,Narrow 60 MPH,NA,Cross Court
1026012,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,30.494,3.208,67.084,47.917,1.373,0,-29.688,2.18,50,-2.71,NA,1570808909.638,1.7960000038146973,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1026013,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,0,5,NA,-39.155,14.001,62.437,44.598,4.486,0,50,-3.882,-32.894,6.279,NA,1570808914.417,4.7790000438690186,0,30.494,3.208,50,-2.71,30.67,-2.279,Forehand,Narrow 60 MPH,NA,Down the Line
